RA,DEC
106.42512,50.58106
354.67166,15.95479
89.36231,11.94919
131.81593,72.98563
62.25779,-45.51754
344.15067,-37.03008
143.44221,10.15239
154.6523,-17.98252
198.14764,-17.5424
170.16486,-10.25735
194.36627,-19.69128
199.99556,-47.28182
165.31738,3.62801
168.77588,14.78708
189.45166,5.36844
190.43497,74.42094
179.11728,55.12532
201.43358,-29.83368
120.69614,-12.31784
153.46045,38.76491
210.70857,49.17263
259.50385,-59.17208
286.95316,-61.3681
120.09856,39.83041
209.60466,-34.51732
161.64566,13.75078
204.73808,-25.84571
247.87682,-58.09985
214.03218,35.34376
95.27316,-20.04842
144.46359,-62.15109
21.32225,9.26411
133.61281,-3.06704
179.57098,28.1925
237.06639,-75.67294
36.45925,18.499
26.23375,10.42302
299.45444,-31.81069
263.88626,-5.08323
157.22308,-31.60894
203.98611,-33.45382
214.54398,-48.01007
290.99133,-59.92251
351.34061,28.49523
110.53925,-29.23554
188.9026,-39.90929
258.1156,-23.36966
302.88025,-45.59322
2.47255,25.92379
31.92703,75.16137
186.7606,15.46136
188.90822,12.26399
238.5798,0.54303
210.8506,35.13207
72.15498,-6.31988
192.73848,-14.33295
343.94064,-42.64202
175.32771,36.54674
284.89484,19.10597
323.8862,35.39834
350.12555,17.22556
35.27655,-33.72068
155.93314,12.56781
107.63564,75.32665
175.489,-6.15567
196.37244,-43.59113
40.95794,32.47489
163.14896,22.93414
270.70145,-66.43064
333.95779,19.23237
338.52823,5.57034
285.91821,-64.89448
193.89873,-26.82507
207.71127,39.57488
40.12132,-11.27755
156.07065,-32.48266
58.26801,35.59195
52.88081,-51.90483
346.77045,-36.27536
16.75928,-80.30775
330.67325,-51.29659
167.6516,-37.54757
193.66922,28.93871
65.37265,36.94921
207.20699,-30.51112
201.20947,-30.30778
236.56822,2.41547
303.30197,-46.16163
344.86127,-37.7029
155.58336,21.56959
334.21039,41.50283
26.97718,27.43278
185.63066,15.53792
185.97484,-3.44288
296.00955,-28.40066
348.81702,18.9614
309.58426,-52.11046
330.53082,-51.74309
285.2117,-57.75944
56.24358,45.96748
101.09383,-26.10884
149.58775,32.37
202.54749,46.67079
282.25491,19.33111
318.78131,-47.22049
134.03354,-3.36012
317.83371,-64.02533
345.81531,8.87369
93.90173,71.03753
157.62152,-35.61064
185.4328,75.32259
208.76816,-26.78068
34.77158,-6.79091
65.4669,36.12701
145.51385,0.33647
53.12239,-15.22113
138.35303,79.18732
203.81746,-77.64118
220.89137,-24.46089
38.85361,40.86972
221.94327,-19.07856
175.07042,17.72792
283.00848,-57.32075
138.52133,40.11375
186.97319,12.29323
327.44171,-34.87627
22.61895,-22.66721
221.10178,1.67973
196.52002,-29.75429
141.44725,11.42454
181.39722,-26.52263
287.85733,-50.64219
290.09372,-60.38916
28.30249,-49.56035
28.79253,35.28189
193.33864,1.2692
196.33417,-35.33743
61.65723,30.37625
195.10974,-15.28345
107.79503,50.17469
19.93688,3.40995
210.75429,34.75785
129.14565,-20.47047
162.60873,-12.84508
40.87518,37.34126
357.76654,20.15041
70.56051,-20.43479
194.44806,-39.7617
262.29025,-62.44574
132.73344,-34.53757
136.33885,18.31311
192.32903,-9.10842
353.91412,15.30205
188.52527,11.32126
201.84909,-57.48951
206.59872,43.87204
212.4888,17.54548
163.04755,32.95042
231.5332,41.67605
349.7244,-7.58045
55.90451,-35.85302
180.88092,-43.65386
149.72112,-30.35771
218.11345,49.90471
325.33032,-63.9087
208.99811,-30.34143
186.3381,-47.47408
197.64844,-39.60442
200.16679,-43.69995
289.65552,-60.49646
142.08981,-36.1666
245.33293,-60.78296
101.46997,-18.2108
174.84319,56.27071
192.94284,-41.13225
339.77307,-22.66668
158.23105,28.51173
302.5452,-48.28705
