CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
SN2017mf,150,0.02598,0.00086,0.02618,1e-05,0.02561,1e-05,16.0581,0.176679,35.3111,0.17873,-9.0,0,1,-0.027296,0.033476,-0.158018,0.14413,16.0258,0.0376897,0.00697691,0.000242193,0.00011409,-6.38538e-07,-6.75995e-06,214.129,39.5864,-999,-999,-9.0,59.0114,250,0.00942174,10.508,0.013,57779.1,0.3612,7,16.024,0.024898,0.0775,0.0728,-0.0236,0.001,1.0,0.003
2005ms,64,0.02669,0.00086,0.02595,1e-05,0.02522,1e-05,16.055,0.177546,35.308,0.179587,-9.0,0,1,-0.055584,0.026914,0.43692,0.077026,15.8904,0.0351219,0.00790395,0.000255681,-9.39526e-05,-1.81408e-06,-5.74138e-06,132.31,36.13,-999,-999,-9.0,-217.485,250,0.0291768,8.49436,0.102,53744.2,0.0632,26,34.9169,0.11346,0.0598,0.0709,0.0193,0.002,1.0,0.006
1999gp,62,0.02691,0.00086,0.02603,3e-05,0.02675,3e-05,16.0158,0.181374,35.2688,0.183373,-9.0,0,1,0.015337,0.026351,1.66138,0.038532,15.8052,0.0417555,0.00854906,0.000328782,-0.000253268,1.8938e-06,-6.62841e-06,37.9131,39.3812,-999,-999,-9.0,-258.629,250,0.0480734,10.9727,0.28089,51551.4,0.0417,120,328.446,2.74527e-21,0.0581,0.0703,-0.0653,0.002,1.0,0.007
1999gp,57,0.02691,0.00086,0.02603,3e-05,0.02675,3e-05,16.0362,0.204105,35.2892,0.205883,-9.0,0,1,-0.046336,0.042141,1.38983,0.11167,15.7147,0.0445346,0.00929207,0.000381141,-0.000407593,1.64103e-07,-1.1392e-05,37.9131,39.3812,-999,-999,-9.0,-258.629,250,0.0480734,10.9727,-9.0,51550.8,0.0937,41,34.0233,0.77165,0.1066,0.0703,-0.0256,0.001,1.0,0.003
ASASSN-17at,150,0.02713,0.00086,0.02643,1e-05,0.02537,1e-05,15.9983,0.184798,35.2513,0.18676,-9.0,0,1,-0.02295,0.034274,-1.46792,0.27096,16.1718,0.0407156,0.00609918,0.000228722,0.000158751,-3.18839e-06,-6.68127e-06,174.64,25.3971,-999,-999,-9.0,-204.188,250,0.0236917,10.1022,0.0,57776.8,0.4103,6,15.9545,0.025535,0.0846,0.0698,-0.0245,0.0,1.0,0.004
2013fn,56,0.0273,0.00086,0.02724,5e-05,0.02823,5e-05,16.0362,0.297685,35.2892,0.298907,-9.0,0,1,-0.04987,0.059293,0.037964,0.51229,15.9474,0.0473954,0.00749983,0.000327389,0.00341237,-4.15738e-05,-1.26731e-05,315.099,-14.4978,-999,-999,-9.0,-18.0539,250,0.0342391,7.2614,0.036,56571.4,0.4694,10,6.85133,0.7394,0.17,0.0693,0.0186,0.002,1.0,0.007
2002eb,57,0.02731,0.00091,0.02633,0.0003,0.02751,0.0003,16.0143,0.170229,35.2673,0.172357,-9.0,0,1,-0.07121,0.020783,0.78251,0.038435,15.7518,0.0400898,0.00898012,0.000331583,-7.6215e-05,3.37498e-07,-5.25993e-06,334.772,24.5944,-999,-999,-9.0,-284.347,250,0.0520682,7.0,-9.0,52494.7,0.0373,95,141.212,0.00148106,0.0435,0.0733,0.0207,0.002,1.0,0.006
2007co,57,0.02731,0.00086,0.02655,0.00011,0.02696,0.00011,16.0907,0.229204,35.3437,0.230789,-9.0,0,1,0.021976,0.030572,-0.065862,0.055708,16.2334,0.0689543,0.00576286,0.000365995,-0.000183369,1.37785e-06,-8.95624e-06,275.765,29.8971,-999,-999,-9.0,-221.823,250,0.0973434,9.81719,-9.0,54265.2,0.059,62,50.0214,0.86282,0.0585,0.0693,0.0126,0.003,1.0,0.016
2007co,56,0.02731,0.00086,0.02655,0.00011,0.02696,0.00011,15.8588,0.345538,35.1118,0.346591,-9.0,0,1,0.066694,0.058991,-0.697511,0.37661,16.2323,0.0762542,0.00576863,0.000405146,0.00200815,-1.88916e-05,-1.51763e-05,275.765,29.8971,-999,-999,-9.0,-221.823,250,0.0973434,9.81719,0.008,54265.4,0.4164,16,3.08261,0.9998,0.154,0.0693,0.012,0.007,1.0,0.027
2007co,64,0.02731,0.00086,0.02655,0.00011,0.02696,0.00011,15.974,0.260248,35.227,0.261645,-9.0,0,1,0.054766,0.030725,-0.210051,0.062151,16.2374,0.0693092,0.00574181,0.000366535,-5.96165e-05,4.54232e-07,-8.86974e-06,275.765,29.8971,-999,-999,-9.0,-221.823,250,0.0973434,9.81719,3.818,54265.1,0.0584,74,74.8427,0.45074,0.0598,0.0693,0.0106,0.005,1.0,0.024
1992P,50,0.02736,0.00086,0.02643,1e-05,0.02531,1e-05,16.06,0.218475,35.313,0.220137,-9.0,0,1,-0.104397,0.042826,0.15615,0.27557,15.7953,0.0358796,0.00862712,0.000285095,-0.000955395,1.23526e-06,-9.60769e-06,190.704,10.3601,-999,-999,-9.0,-272.653,250,0.0175178,10.1744,-9.0,48719.8,0.381,12,16.2844,0.17855,0.1176,0.0692,0.0288,0.001,1.0,0.003
