gamma,f,A,delta_chi2
1.4,2.79,0.9800000000000001,38.61000000000003
1.4,2.79,1.0,38.53000000000003
1.4,2.79,1.02,38.61000000000003
1.4,2.79,1.04,38.85000000000003
1.4,2.79,1.06,39.25000000000003
1.4,2.79,1.08,39.81000000000003
1.4,2.79,1.1,40.53000000000003
1.4,2.8,0.9,42.47999999999998
1.4,2.8,0.92,41.759999999999984
1.4,2.8,0.9400000000000001,41.19999999999998
1.4,2.8,0.9600000000000001,40.79999999999998
1.4,2.8,0.9800000000000001,40.55999999999998
1.4,2.8,1.0,40.47999999999998
1.4,2.8,1.02,40.55999999999998
1.4,2.8,1.04,40.79999999999998
1.4,2.8,1.06,41.19999999999998
1.4,2.8,1.08,41.759999999999984
1.4,2.8,1.1,42.47999999999999
1.41,2.4,0.9,40.00000000000007
1.41,2.4,0.92,39.28000000000007
1.41,2.4,0.9400000000000001,38.72000000000007
1.41,2.4,0.9600000000000001,38.32000000000007
1.41,2.4,0.9800000000000001,38.08000000000007
1.41,2.4,1.0,38.00000000000007
1.41,2.4,1.02,38.08000000000007
1.41,2.4,1.04,38.32000000000007
1.41,2.4,1.06,38.72000000000007
1.41,2.4,1.08,39.28000000000007
1.41,2.4,1.1,40.00000000000007
1.41,2.4099999999999997,0.9,38.050000000000104
1.41,2.4099999999999997,0.92,37.330000000000105
1.41,2.4099999999999997,0.9400000000000001,36.7700000000001
1.41,2.4099999999999997,0.9600000000000001,36.370000000000104
1.41,2.4099999999999997,0.9800000000000001,36.1300000000001
1.41,2.4099999999999997,1.0,36.050000000000104
1.41,2.4099999999999997,1.02,36.1300000000001
1.41,2.4099999999999997,1.04,36.370000000000104
1.41,2.4099999999999997,1.06,36.7700000000001
1.41,2.4099999999999997,1.08,37.330000000000105
1.41,2.4099999999999997,1.1,38.05000000000011
1.41,2.42,0.9,36.20000000000006
1.41,2.42,0.92,35.48000000000006
1.41,2.42,0.9400000000000001,34.92000000000006
1.41,2.42,0.9600000000000001,34.52000000000006
1.41,2.42,0.9800000000000001,34.28000000000006
1.41,2.42,1.0,34.20000000000006
1.41,2.42,1.02,34.28000000000006
1.41,2.42,1.04,34.52000000000006
1.41,2.42,1.06,34.92000000000006
1.41,2.42,1.08,35.48000000000006
1.41,2.42,1.1,36.20000000000006
1.41,2.4299999999999997,0.9,34.450000000000095
1.41,2.4299999999999997,0.92,33.730000000000096
1.41,2.4299999999999997,0.9400000000000001,33.170000000000094
1.41,2.4299999999999997,0.9600000000000001,32.770000000000095
1.41,2.4299999999999997,0.9800000000000001,32.53000000000009
1.41,2.4299999999999997,1.0,32.450000000000095
1.41,2.4299999999999997,1.02,32.53000000000009
1.41,2.4299999999999997,1.04,32.770000000000095
1.41,2.4299999999999997,1.06,33.170000000000094
1.41,2.4299999999999997,1.08,33.730000000000096
1.41,2.4299999999999997,1.1,34.4500000000001
1.41,2.44,0.9,32.800000000000054
1.41,2.44,0.92,32.080000000000055
1.41,2.44,0.9400000000000001,31.520000000000053
1.41,2.44,0.9600000000000001,31.120000000000054
1.41,2.44,0.9800000000000001,30.880000000000052
1.41,2.44,1.0,30.800000000000054
1.41,2.44,1.02,30.880000000000056
1.41,2.44,1.04,31.120000000000054
1.41,2.44,1.06,31.520000000000056
1.41,2.44,1.08,32.080000000000055
1.41,2.44,1.1,32.800000000000054
1.41,2.4499999999999997,0.9,31.250000000000085
1.41,2.4499999999999997,0.92,30.530000000000083
1.41,2.4499999999999997,0.9400000000000001,29.970000000000084
1.41,2.4499999999999997,0.9600000000000001,29.570000000000086
1.41,2.4499999999999997,0.9800000000000001,29.330000000000084
1.41,2.4499999999999997,1.0,29.250000000000085
1.41,2.4499999999999997,1.02,29.330000000000087
