N,x_resid_ln_fs8
-3.4128577150315547,-0.0002020243218462947
-3.411994137674512,-0.00020191022697981648
-3.4111305603174698,-0.00020179581572331295
-3.4102669829604273,-0.00020168108850000116
-3.409403405603385,-0.00020156604573042664
-3.4085398282463424,-0.000201450687836488
-3.4076762508893,-0.00020133501523873082
-3.406812673532258,-0.00020121902835726346
-3.4059490961752155,-0.00020110272761130615
-3.405085518818173,-0.00020098611342051625
-3.4042219414611306,-0.0002008691862027956
-3.403358364104088,-0.00020075194637646926
-3.4024947867470456,-0.00020063439435809294
-3.401631209390003,-0.00020051653056555457
-3.4007676320329607,-0.00020039835541495882
-3.3999040546759187,-0.00020027986932109887
-3.3990404773188763,-0.00020016107270096756
-3.398176899961834,-0.00020004196596801194
-3.3973133226047914,-0.00019992254953567906
-3.396449745247749,-0.0001998028238196295
-3.3955861678907064,-0.00019968278923110372
-3.394722590533664,-0.00019956244618354185
-3.3938590131766215,-0.00019944179508905868
-3.3929954358195795,-0.00019932083635888082
-3.392131858462537,-0.00019919957040378383
-3.3912682811054946,-0.00019907799763456413
-3.390404703748452,-0.0001989561184611091
-3.3895411263914097,-0.00019883393329198085
-3.3886775490343672,-0.00019871144253707368
-3.387813971677325,-0.00019858864660449865
-3.3869503943202828,-0.00019846554590149945
-3.3860868169632403,-0.00019834214083529894
-3.385223239606198,-0.00019821843181312693
-3.3843596622491554,-0.00019809441924132504
-3.383496084892113,-0.0001979701035248957
-3.3826325075350705,-0.0001978454850697503
-3.381768930178028,-0.00019772056428000312
-3.3809053528209856,-0.0001975953415606635
-3.3800417754639436,-0.00019746981731363217
-3.379178198106901,-0.00019734399194346747
-3.3783146207498587,-0.00019721786585163992
-3.377451043392816,-0.0001970914394409315
-3.3765874660357738,-0.00019696471311279884
-3.3757238886787313,-0.0001968376872682545
-3.374860311321689,-0.00019671036230697186
-3.3739967339646464,-0.00019658273863042142
-3.3731331566076044,-0.00019645481663650016
-3.372269579250562,-0.0001963265967248884
-3.3714060018935195,-0.00019619807929437821
-3.370542424536477,-0.00019606926474197844
-3.3696788471794346,-0.00019594015346605098
-3.368815269822392,-0.00019581074586227237
-3.3679516924653496,-0.00019568104232854655
-3.3670881151083076,-0.00019555104325922473
-3.366224537751265,-0.00019542074905087164
-3.3653609603942227,-0.0001952901600974083
-3.3644973830371803,-0.00019515927679362305
-3.363633805680138,-0.00019502809953342304
-3.3627702283230954,-0.00019489662870937619
-3.361906650966053,-0.0001947648647154035
-3.3610430736090104,-0.00019463280794274063
-3.3601794962519684,-0.00019450045878440653
-3.359315918894926,-0.0001943678176307556
-3.3584523415378835,-0.00019423488487257945
-3.357588764180841,-0.00019410166090069042
-3.3567251868237986,-0.0001939681461049919
-3.355861609466756,-0.0001938343408736179
-3.3549980321097137,-0.0001937002455964787
-3.3541344547526712,-0.00019356586066170134
-3.3532708773956292,-0.0001934311864565455
-3.352407300038587,-0.00019329622336869412
-3.3515437226815443,-0.0001931609717849489
-3.350680145324502,-0.00019302543209166745
-3.3498165679674594,-0.00019288960467431226
-3.348952990610417,-0.00019275348991836666
-3.3480894132533745,-0.00019261708820884904
-3.3472258358963325,-0.00019248039992989657
-3.34636225853929,-0.00019234342546475824
-3.3454986811822476,-0.00019220616519756428
-3.344635103825205,-0.00019206861951113346
-3.3437715264681627,-0.00019193078878693148
-3.34290794911112,-0.00019179267340776324
-3.3420443717540778,-0.00019165427375465727
-3.3411807943970353,-0.00019151559020863518
-3.3403172170399933,-0.0001913766231498512
-3.339453639682951,-0.0001912373729579947
-3.3385900623259084,-0.00019109784001276192
-3.337726484968866,-0.00019095802469340506
-3.3368629076118235,-0.000190817927377393
-3.335999330254781,-0.00019067754844310364
-3.3351357528977386,-0.00019053688826844994
-3.334272175540696,-0.00019039594723046366
-3.333408598183654,-0.00019025472570484425
-3.3325450208266116,-0.00019011322406772835
-3.331681443469569,-0.00018997144269527338
-3.3308178661125267,-0.00018982938196183963
-3.3299542887554843,-0.00018968704224312655
-3.329090711398442,-0.000189544423911725
-3.3282271340413994,-0.0001894015273424393
