omega0,Q,alpha,kind,A,dA_over_A
0.4833333333333334,0.5,0.2,boost,0.01174057372946227,0.10355988998643804
0.5166666666666667,0.3,0.04,boost,0.010938340567942385,0.028153665395495058
0.5166666666666667,0.3,0.06666666666666667,boost,0.011138021731499043,0.046922775659158644
0.5166666666666667,0.3,0.09333333333333334,boost,0.0113377028950557,0.06569188592282207
0.5166666666666667,0.3,0.12,boost,0.011537384058612354,0.08446099618648534
0.5166666666666667,0.3,0.14666666666666667,boost,0.011737065222169012,0.10323010645014892
0.5166666666666667,0.3,0.17333333333333334,boost,0.011936746385725668,0.12199921671381235
0.5166666666666667,0.3,0.2,boost,0.012136427549282324,0.14076832697747577
0.5166666666666667,0.3333333333333333,0.04,boost,0.010925393017325494,0.026936655233673504
0.5166666666666667,0.3333333333333333,0.06666666666666667,boost,0.011116442480470888,0.04489442538945578
0.5166666666666667,0.3333333333333333,0.09333333333333334,boost,0.011307491943616283,0.06285219554523823
0.5166666666666667,0.3333333333333333,0.12,boost,0.011498541406761674,0.08080996570102018
0.5166666666666667,0.3333333333333333,0.14666666666666667,boost,0.011689590869907071,0.09876773585680279
0.5166666666666667,0.3333333333333333,0.17333333333333334,boost,0.011880640333052467,0.11672550601258523
0.5166666666666667,0.3333333333333333,0.2,boost,0.012071689796197861,0.1346832761683675
0.5166666666666667,0.36666666666666664,0.04,boost,0.010913411417873149,0.02581044003515127
0.5166666666666667,0.36666666666666664,0.06666666666666667,boost,0.011096473148050312,0.04301740005858534
0.5166666666666667,0.36666666666666664,0.09333333333333334,boost,0.011279534878227478,0.06022436008201958
0.5166666666666667,0.36666666666666664,0.12,boost,0.011462596608404645,0.07743132010545398
0.5166666666666667,0.36666666666666664,0.14666666666666667,boost,0.01164565833858181,0.09463828012888821
0.5166666666666667,0.36666666666666664,0.17333333333333334,boost,0.011828720068758973,0.11184524015232229
0.5166666666666667,0.36666666666666664,0.2,boost,0.01201178179893614,0.1290522001757567
0.5166666666666667,0.4,0.04,boost,0.010902320465856234,0.02476794159600624
0.5166666666666667,0.4,0.06666666666666667,boost,0.01107798822802212,0.04127990266001029
0.5166666666666667,0.4,0.09333333333333334,boost,0.011253655990188008,0.05779186372401434
0.5166666666666667,0.4,0.12,boost,0.011429323752353896,0.07430382478801856
0.5166666666666667,0.4,0.14666666666666667,boost,0.011604991514519786,0.09081578585202293
0.5166666666666667,0.4,0.17333333333333334,boost,0.011780659276685673,0.10732774691602698
0.5166666666666667,0.4,0.2,boost,0.011956327038851562,0.1238397079800312
0.5166666666666667,0.43333333333333335,0.04,boost,0.010892042646061898,0.023801873843024506
0.5166666666666667,0.43333333333333335,0.06666666666666667,boost,0.011060858528364895,0.03966978973837418
