M_Msun_hinv,sigma_LCDM,sigma_RES,dn_dlnM_LCDM_Mpch3,dn_dlnM_RES_Mpch3
115756436955330.11,0.0007286277825152095,0.0006433738654782166,,
122167734899678.8,0.0007195339804868621,0.000637441597609924,,
128934129652571.05,0.0007105048049309774,0.0006314694526238923,,
136075288642433.33,0.0007015403565350707,0.0006254601811014206,,
143611968599907.72,0.0006926406672807224,0.0006194165169454993,,
151566075890060.12,0.0006838058452015115,0.0006133411725137019,,
159960730186148.47,0.0006750359264671819,0.0006072368342313499,,
168820331670036.62,0.0006663309922478527,0.0006011061586534208,,
178170631954573.25,0.0006576910986664785,0.0005949517689449599,,
188038808934091.66,0.0006491162989926296,0.0005887762517510837,,
198453545780580.3,0.0006406066608786718,0.0005825821544290201,,
209445114315146.88,0.0006321622210858324,0.0005763719826159868,,
221045462997101.9,0.0006237830474359963,0.0005701481981080651,,
233288309786415.34,0.0006154691688661187,0.000563913217026567,,
246209240149462.03,0.0006072206468556305,0.0005576694082497,,
259845810492924.2,0.00059903750644683,0.0005514190920886116,,
274237657326494.12,0.0005909197997850074,0.0005451645391881358,,
289426612471674.0,0.0005828675498942443,0.0005389079696337541,,
305456824651543.2,0.0005748807973585361,0.000532651552247436,,
322374887814902.7,0.0005669595650522263,0.0005263974040561251,,
340229976567806.44,0.0005591038796442174,0.0005201475899176823,,
359073989106104.75,0.0005513137651682258,0.000513904122290111,,
378961698064472.4,0.0005435892340025684,0.0005076689611308338,,
399950909720367.0,0.0005359303087168418,0.0005014440139137004,,
422102632015690.3,0.0005283369926104108,0.000495231135752254,,
445481251884498.8,0.0005208092983714962,0.0004890321296186117,,
470154722402212.94,0.0005133472285943931,0.00048284874664805916,,
496194760300289.8,0.0005059507802374847,0.00047668268652019315,,
523677054420464.44,0.0004986199539380764,0.0004705355979081225,,
552681485714459.2,0.0004913547386330645,0.00046440907898787195,,
583292359428618.8,0.00048415512195008106,0.00045830467800074087,,
615598650148348.9,0.0004770210905354549,0.00045222389386192265,,
649694260414609.8,0.00046995262208768463,0.0004461681768092275,,
685678293664173.8,0.00046294969138119084,0.0004401389290862368,,
723655342286965.0,0.00045601227129646787,0.00043413750565468915,,
763735791637801.1,0.00044914032811272097,0.000428165214931319,,
806036140886132.9,0.0004423338227887244,0.00042222331954478804,,
850679341636417.1,0.00043559271324785916,0.0004163130371087129,,
897795155303333.1,0.0004289169530036442,0.000410435541007157,,
947520530280654.8,0.0004223064898555047,0.00040459196118927,,
1000000000000000.0,0.0004157612664653866,0.0003987833849700815,,
