a,D_LCDM,D_visc_k0_k=0.050000hMpc,D_visc_k1_k=0.240000hMpc,D_visc_k2_k=0.430000hMpc,D_visc_k3_k=0.620000hMpc,D_visc_k4_k=0.810000hMpc,D_visc_k5_k=1.000000hMpc
7.75000000e-01,8.60281434e-01,8.60961231e-01,8.74825479e-01,8.99517049e-01,9.24249601e-01,9.43655289e-01,9.57563832e-01
7.80000000e-01,8.63968381e-01,8.64630760e-01,8.78137838e-01,9.02186003e-01,9.26266732e-01,9.45157273e-01,9.58695137e-01
7.85000000e-01,8.67626730e-01,8.68271794e-01,8.81423929e-01,9.04833146e-01,9.28267019e-01,9.46646573e-01,9.59816846e-01
7.90000000e-01,8.71256605e-01,8.71884457e-01,8.84683884e-01,9.07458609e-01,9.30250577e-01,9.48123279e-01,9.60929031e-01
7.95000000e-01,8.74858135e-01,8.75468879e-01,8.87917837e-01,9.10062525e-01,9.32217521e-01,9.49587488e-01,9.62031768e-01
8.00000000e-01,8.78431451e-01,8.79025192e-01,8.91125927e-01,9.12645027e-01,9.34167968e-01,9.51039291e-01,9.63125130e-01
8.05000000e-01,8.81976689e-01,8.82553530e-01,8.94308293e-01,9.15206251e-01,9.36102033e-01,9.52478783e-01,9.64209193e-01
8.10000000e-01,8.85493984e-01,8.86054032e-01,8.97465078e-01,9.17746332e-01,9.38019833e-01,9.53906058e-01,9.65284028e-01
8.15000000e-01,8.88983478e-01,8.89526837e-01,9.00596423e-01,9.20265407e-01,9.39921485e-01,9.55321209e-01,9.66349712e-01
8.20000000e-01,8.92445313e-01,8.92972089e-01,9.03702475e-01,9.22763615e-01,9.41807105e-01,9.56724331e-01,9.67406317e-01
8.25000000e-01,8.95879634e-01,8.96389933e-01,9.06783382e-01,9.25241092e-01,9.43676811e-01,9.58115515e-01,9.68453917e-01
8.30000000e-01,8.99286589e-01,8.99780517e-01,9.09839292e-01,9.27697979e-01,9.45530721e-01,9.59494858e-01,9.69492585e-01
8.35000000e-01,9.02666327e-01,9.03143991e-01,9.12870355e-01,9.30134417e-01,9.47368951e-01,9.60862450e-01,9.70522395e-01
8.40000000e-01,9.06019001e-01,9.06480506e-01,9.15876724e-01,9.32550544e-01,9.49191619e-01,9.62218387e-01,9.71543419e-01
8.45000000e-01,9.09344765e-01,9.09790218e-01,9.18858552e-01,9.34946504e-01,9.50998845e-01,9.63562762e-01,9.72555731e-01
8.50000000e-01,9.12643773e-01,9.13073282e-01,9.21815993e-01,9.37322437e-01,9.52790744e-01,9.64895667e-01,9.73559403e-01
8.55000000e-01,9.15916185e-01,9.16329855e-01,9.24749205e-01,9.39678486e-01,9.54567436e-01,9.66217195e-01,9.74554507e-01
8.60000000e-01,9.19162160e-01,9.19560098e-01,9.27658343e-01,9.42014794e-01,9.56329037e-01,9.67527439e-01,9.75541116e-01
8.65000000e-01,9.22381859e-01,9.22764172e-01,9.30543566e-01,9.44331503e-01,9.58075667e-01,9.68826491e-01,9.76519301e-01
8.70000000e-01,9.25575445e-01,9.25942239e-01,9.33405033e-01,9.46628758e-01,9.59807442e-01,9.70114445e-01,9.77489133e-01
8.75000000e-01,9.28743082e-01,9.29094463e-01,9.36242905e-01,9.48906702e-01,9.61524480e-01,9.71391391e-01,9.78450685e-01
8.80000000e-01,9.31884935e-01,9.32221010e-01,9.39057342e-01,9.51165479e-01,9.63226900e-01,9.72657422e-01,9.79404027e-01
8.85000000e-01,9.35001171e-01,9.35322047e-01,9.41848505e-01,9.53405233e-01,9.64914817e-01,9.73912629e-01,9.80349230e-01
8.90000000e-01,9.38091958e-01,9.38397740e-01,9.44616559e-01,9.55626109e-01,9.66588350e-01,9.75157103e-01,9.81286364e-01
8.95000000e-01,9.41157466e-01,9.41448260e-01,9.47361664e-01,9.57828250e-01,9.68247615e-01,9.76390935e-01,9.82215500e-01
9.00000000e-01,9.44197863e-01,9.44473776e-01,9.50083985e-01,9.60011801e-01,9.69892730e-01,9.77614216e-01,9.83136707e-01
9.05000000e-01,9.47213321e-01,9.47474458e-01,9.52783687e-01,9.62176907e-01,9.71523810e-01,9.78827035e-01,9.84050054e-01
9.10000000e-01,9.50204012e-01,9.50450477e-01,9.55460933e-01,9.64323712e-01,9.73140972e-01,9.80029484e-01,9.84955611e-01
