tau,omega,sigma_ratio_1e9,sigma_ratio_1e10,sigma_ratio_1e11,score
0.06217391304347826,0.1826086956521739,0.6031524629159446,0.7371747766831033,0.8754956749034718,3.1318594787952034
0.08043478260869565,0.12695652173913044,0.6044358218019519,0.7381803156511031,0.8754858668872919,3.1348324205848894
0.07130434782608695,0.1582608695652174,0.6036381477974888,0.7374820251485188,0.8752754192143978,3.1546959343544776
0.06521739130434782,0.1756521739130435,0.6030157984768469,0.7369544806075907,0.8751719649208887,3.1641014603528514
0.06826086956521739,0.16869565217391305,0.6027174199006995,0.7365648112978502,0.8747380928566576,3.2071344557151082
0.07739130434782608,0.1408695652173913,0.603311829551597,0.7370225926459365,0.8747177147725823,3.2100973097592327
0.08043478260869565,0.13043478260869565,0.6033579174364471,0.7370275168083077,0.8746337299488833,3.21858731933949
0.07434782608695652,0.15130434782608695,0.6029484679367222,0.7366863455422726,0.8745734204506148,3.2240001545295267
0.05608695652173913,0.2,0.6011786658742848,0.7351985844963451,0.8744215695764411,3.2364499325893954
0.059130434782608696,0.19304347826086957,0.6014308682008632,0.7354042997686361,0.874382680018091,3.24075453622076
0.08347826086956522,0.12,0.6030970749038473,0.7367113141345257,0.874326121680776,3.2490197658800346
0.06217391304347826,0.18608695652173912,0.6015285280392294,0.7354372232334061,0.8742286293937788,3.25635733022785
0.07130434782608695,0.1617391304347826,0.6022607012762523,0.7360108780805154,0.8741967752668072,3.2606924016184946
0.06521739130434782,0.1791304347826087,0.6014670028818265,0.7352985222162091,0.8739617060742348,3.283024507972573
0.07739130434782608,0.1443478260869565,0.6021127796114997,0.7357399359200089,0.8737702557136429,3.3032200355344004
0.08043478260869565,0.13391304347826086,0.6022587276335697,0.7358506209738959,0.873761354385931,3.304338046529228
0.06826086956521739,0.17217391304347826,0.6012457673255145,0.7349912858619189,0.8735843803337778,3.3205094438841876
0.07434782608695652,0.1547826086956522,0.6016508947685777,0.7352987088607169,0.8735508345727235,3.3245011164123666
0.08347826086956522,0.12347826086956522,0.6020979983914645,0.7356401219286512,0.8735285574109819,3.3274260639378417
0.07130434782608695,0.16521739130434782,0.6008672401769514,0.7345200215938258,0.8730992689115326,3.36855472968361
0.059130434782608696,0.1965217391304348,0.5997285402835362,0.7335745425748539,0.8730418322777036,3.3725265761767242
0.06217391304347826,0.18956521739130436,0.5998954516383833,0.7336854156481893,0.8729441926178725,3.3825838844959337
0.08043478260869565,0.1373913043478261,0.6011388255090141,0.7346501524319381,0.8728689559542838,3.392063858805849
