tau,omega,supp_1e9,supp_1e10,supp_1e11
0.6499999999999999,0.6,,,
0.7,0.08,,,
0.7,0.10166666666666667,,,
0.7,0.12333333333333334,,,
0.7,0.14500000000000002,,,
0.7,0.16666666666666669,,,
0.7,0.18833333333333335,,,
0.7,0.21000000000000002,,,
0.7,0.2316666666666667,,,
0.7,0.25333333333333335,,,
0.7,0.275,,,
0.7,0.2966666666666667,,,
0.7,0.31833333333333336,,,
0.7,0.34,,,
0.7,0.3616666666666667,,,
0.7,0.38333333333333336,,,
0.7,0.405,,,
0.7,0.4266666666666667,,,
0.7,0.44833333333333336,,,
0.7,0.47000000000000003,,,
0.7,0.4916666666666667,,,
0.7,0.5133333333333333,,,
0.7,0.535,,,
0.7,0.5566666666666666,,,
0.7,0.5783333333333334,,,
0.7,0.6,,,
0.7499999999999999,0.08,,,
0.7499999999999999,0.10166666666666667,,,
0.7499999999999999,0.12333333333333334,,,
0.7499999999999999,0.14500000000000002,,,
0.7499999999999999,0.16666666666666669,,,
0.7499999999999999,0.18833333333333335,,,
0.7499999999999999,0.21000000000000002,,,
0.7499999999999999,0.2316666666666667,,,
0.7499999999999999,0.25333333333333335,,,
0.7499999999999999,0.275,,,
0.7499999999999999,0.2966666666666667,,,
0.7499999999999999,0.31833333333333336,,,
0.7499999999999999,0.34,,,
0.7499999999999999,0.3616666666666667,,,
0.7499999999999999,0.38333333333333336,,,
0.7499999999999999,0.405,,,
0.7499999999999999,0.4266666666666667,,,
0.7499999999999999,0.44833333333333336,,,
0.7499999999999999,0.47000000000000003,,,
0.7499999999999999,0.4916666666666667,,,
0.7499999999999999,0.5133333333333333,,,
0.7499999999999999,0.535,,,
0.7499999999999999,0.5566666666666666,,,
0.7499999999999999,0.5783333333333334,,,
0.7499999999999999,0.6,,,
0.7999999999999999,0.08,,,
0.7999999999999999,0.10166666666666667,,,
0.7999999999999999,0.12333333333333334,,,
0.7999999999999999,0.14500000000000002,,,
0.7999999999999999,0.16666666666666669,,,
0.7999999999999999,0.18833333333333335,,,
0.7999999999999999,0.21000000000000002,,,
0.7999999999999999,0.2316666666666667,,,
0.7999999999999999,0.25333333333333335,,,
0.7999999999999999,0.275,,,
0.7999999999999999,0.2966666666666667,,,
0.7999999999999999,0.31833333333333336,,,
0.7999999999999999,0.34,,,
